Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364527_274-LP3-16S-0274	Lavaux_2021-09-30_must_Plot17_Row4/Vine25_ID150	Sample	Lavaux	DNA14	P3	5.8
364527_283-LP3-16S-0283	Lavaux_2022-09-09_must_Plot5_RepE	Sample	Lavaux	DNA14	P3	13.2
364527_162-LP3-16S-0162	Lavaux_2021-09-30_must_Plot11_Row7/Vine50_ID70	Sample	Lavaux	DNA12	P2	1.8
364527_163-LP3-16S-0163	Lavaux_2021-09-30_must_Plot11_Row8/Vine50_ID73	Sample	Lavaux	DNA12	P2	1.6
364527_279-LP3-16S-0279	Lavaux_2022-08-10_must_Plot11	Sample	Lavaux	DNA14	P3	9.7
364527_158-LP3-16S-0158	Lavaux_2021-09-30_must_Plot14_Row11/Vine8_ID112	Sample	Lavaux	DNA12	P2	3.3
364527_280-LP3-16S-0280	empty	Sample	NOT-USE	DNA14	P3	9.0
364527_159-LP3-16S-0159	Lavaux_2021-09-30_must_Plot4_Row20/Vine10_ID22	Sample	Lavaux	DNA12	P2	2.9
364527_281-LP3-16S-0281	Lavaux_2021-09-30_must_Plot17_Row3/Vine10_ID145	Sample	Lavaux	DNA14	P3	13.4
364527_160-LP3-16S-0160	Lavaux_2021-09-30_must_Plot11_Row9/Vine40_ID75	Sample	Lavaux	DNA12	P2	6.3
364527_282-LP3-16S-0282	Lavaux_2021-09-30_must_Plot13_Row4/Vine20_ID99	Sample	Lavaux	DNA14	P3	14.2
364527_161-LP3-16S-0161	Lavaux_2021-09-30_must_Plot11_Row2/Vine51_ID58	Sample	Lavaux	DNA12	P2	1.5
364527_264-LP3-16S-0264	empty	Sample	NOT-USE	DNA14	P3	10.1
364527_265-LP3-16S-0265	Lavaux_2021-09-30_must_Plot17_Row3/Vine15_ID146	Sample	Lavaux	DNA14	P3	11.5
364527_266-LP3-16S-0266	Lavaux_2021-09-30_must_Plot17_Row12/Vine10_ID169	Sample	Lavaux	DNA14	P3	10.9
364527_267-LP3-16S-0267	Lavaux_2022-09-09_must_Plot5_RepC	Sample	Lavaux	DNA14	P3	10.9
364527_272-LP3-16S-0272	empty	Sample	NOT-USE	DNA14	P3	10.9
364527_273-LP3-16S-0273	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37	Sample	Lavaux	DNA14	P3	9.3
364527_268-LP3-16S-0268	Lavaux_2022-09-09_must_Plot12_RepE	Sample	Lavaux	DNA14	P3	12.0
364527_269-LP3-16S-0269	DNA14_PosCtrl_1	PosCtrl	Lavaux	DNA14	P3	22.4
364527_270-LP3-16S-0270	Lavaux_2022-09-09_must_Plot19_RepB	Sample	Lavaux	DNA14	P3	11.2
364527_271-LP3-16S-0271	Lavaux_2022-08-10_must_Plot9	Sample	Lavaux	DNA14	P3	10.3
364527_435-LP3-16S-0435	SB_gylcerol_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	4.4
364527_436-LP3-16S-0436	SB_gylcerol_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	3.9
364527_437-LP3-16S-0437	SB_gylcerol_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	5.6
364527_438-LP3-16S-0438	SB_NaCl_sol_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	4.1
364527_434-LP3-16S-0434	SB_PBS_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	4.9
364527_443-LP3-16S-0443	SB_water_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	4.2
364527_439-LP3-16S-0439	SB_NaCl_sol_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	3.8
364527_440-LP3-16S-0440	SB_NaCl_sol_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	3.7
364527_441-LP3-16S-0441	SB_water_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	5.5
364527_442-LP3-16S-0442	SB_water_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	3.6
364527_545-LP3-16S-0545	Valais_60	Sample	Valais	DNA38	P6	2.2
364527_424-LP3-16S-0424	SB_must_freeze_immediately_2	Sample	SamplingBenchmarking	DNA17	P5	2.3
364527_546-LP3-16S-0546	Valais_81	Sample	Valais	DNA38	P6	2.2
364527_425-LP3-16S-0425	SB_must_freeze_immediately_3	Sample	SamplingBenchmarking	DNA17	P5	2.6
364527_547-LP3-16S-0547	Valais_68	Sample	Valais	DNA38	P6	2.6
364527_426-LP3-16S-0426	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	2.3
364527_548-LP3-16S-0548	Valais_66	Sample	Valais	DNA38	P6	13.0
364527_427-LP3-16S-0427	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	2.8
364527_544-LP3-16S-0544	Valais_55	Sample	Valais	DNA38	P6	10.7
364527_553-LP3-16S-0553	Valais_90	Sample	Valais	DNA38	P6	11.2
364527_432-LP3-16S-0432	SB_PBS_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	2.1
364527_433-LP3-16S-0433	SB_PBS_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	7.2
364527_549-LP3-16S-0549	Valais_83	Sample	Valais	DNA38	P6	2.1
364527_428-LP3-16S-0428	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	2.4
364527_550-LP3-16S-0550	Valais_91	Sample	Valais	DNA38	P6	2.8
364527_429-LP3-16S-0429	SB_water_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	2.2
364527_551-LP3-16S-0551	Valais_54	Sample	Valais	DNA38	P6	2.9
364527_430-LP3-16S-0430	SB_water_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	2.9
364527_552-LP3-16S-0552	Valais_87	Sample	Valais	DNA38	P6	12.4
364527_431-LP3-16S-0431	SB_water_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	3.4
364527_446-LP3-16S-0446	SB_PBS_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	5.7
364527_447-LP3-16S-0447	SB_gylcerol_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	4.6
364527_448-LP3-16S-0448	SB_gylcerol_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	9.0
364527_449-LP3-16S-0449	SB_gylcerol_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	2.1
364527_444-LP3-16S-0444	SB_PBS_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	10.7
364527_445-LP3-16S-0445	SB_PBS_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	4.5
364527_450-LP3-16S-0450	SB_NaCl_sol_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	1.9
364527_451-LP3-16S-0451	SB_NaCl_sol_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	2.3
364527_452-LP3-16S-0452	SB_NaCl_sol_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	10.4
364527_453-LP3-16S-0453	cotton_tips_1	Sample	SamplingBenchmarking	DNA17	P5	1.9
364527_513-LP3-16S-0513	Valais_32	Sample	Valais	DNA38	P6	2.5
364527_392-LP3-16S-0392	SB_must_4deg_24h_2	Sample	SamplingBenchmarking	DNA17	P5	8.5
364527_393-LP3-16S-0393	SB_must_4deg_24h_3	Sample	SamplingBenchmarking	DNA17	P5	11.1
364527_514-LP3-16S-0514	Valais_5	Sample	Valais	DNA38	P6	2.5
364527_515-LP3-16S-0515	Valais_6	Sample	Valais	DNA38	P6	2.8
364527_394-LP3-16S-0394	SB_must_4deg_72h_1	Sample	SamplingBenchmarking	DNA17	P5	7.5
364527_520-LP3-16S-0520	Valais_79	Sample	Valais	DNA38	P6	2.2
364527_399-LP3-16S-0399	SB_must_4deg_1wk_3	Sample	SamplingBenchmarking	DNA17	P5	3.3
364527_521-LP3-16S-0521	Valais_70	Sample	Valais	DNA38	P6	2.7
364527_400-LP3-16S-0400	SB_must_min80_1wk_1	Sample	SamplingBenchmarking	DNA17	P5	3.5
364527_522-LP3-16S-0522	Valais_76	Sample	Valais	DNA38	P6	2.0
364527_401-LP3-16S-0401	SB_must_min80_1wk_2	Sample	SamplingBenchmarking	DNA17	P5	6.6
364527_523-LP3-16S-0523	Valais_61	Sample	Valais	DNA38	P6	3.8
364527_402-LP3-16S-0402	SB_must_min80_1wk_3	Sample	SamplingBenchmarking	DNA17	P5	3.4
364527_516-LP3-16S-0516	Valais_8	Sample	Valais	DNA38	P6	10.0
364527_395-LP3-16S-0395	SB_must_4deg_72h_2	Sample	SamplingBenchmarking	DNA17	P5	3.5
364527_517-LP3-16S-0517	Valais_18	Sample	Valais	DNA38	P6	2.5
364527_396-LP3-16S-0396	SB_must_4deg_72h_3	Sample	SamplingBenchmarking	DNA17	P5	3.4
364527_518-LP3-16S-0518	Valais_86	Sample	Valais	DNA38	P6	3.2
364527_397-LP3-16S-0397	SB_must_4deg_1wk_1	Sample	SamplingBenchmarking	DNA17	P5	2.6
364527_519-LP3-16S-0519	Valais_59	Sample	Valais	DNA38	P6	3.4
364527_398-LP3-16S-0398	SB_must_4deg_1wk_2	Sample	SamplingBenchmarking	DNA17	P5	3.5
364527_502-LP3-16S-0502	Valais_38	Sample	Valais	DNA38	P6	3.3
364527_381-LP3-16S-0381	Lavaux_2021-08-31_soil_Plot12	Sample	Lavaux	DNA15	P4	4.5
364527_503-LP3-16S-0503	Valais_15	Sample	Valais	DNA38	P6	3.2
364527_382-LP3-16S-0382	Grenchen_2021-06-11_soil_2C_ref	Sample	SoilColonialization	DNA15	P4	4.4
364527_383-LP3-16S-0383	Grenchen_2021-07-21_soil_1B	Sample	SoilColonialization	DNA15	P4	4.9
364527_504-LP3-16S-0504	Valais_17	Sample	Valais	DNA38	P6	7.0
364527_509-LP3-16S-0509	Valais_12	Sample	Valais	DNA38	P6	2.5
364527_388-LP3-16S-0388	SB_must_RT_24h_1	Sample	SamplingBenchmarking	DNA17	P5	10.3
364527_510-LP3-16S-0510	Valais_11	Sample	Valais	DNA38	P6	7.9
364527_389-LP3-16S-0389	SB_must_RT_24h_2	Sample	SamplingBenchmarking	DNA17	P5	8.7
364527_511-LP3-16S-0511	Valais_37	Sample	Valais	DNA38	P6	3.0
364527_390-LP3-16S-0390	SB_must_RT_24h_3	Sample	SamplingBenchmarking	DNA17	P5	7.8
364527_512-LP3-16S-0512	Valais_16	Sample	Valais	DNA38	P6	5.5
364527_391-LP3-16S-0391	SB_must_4deg_24h_1	Sample	SamplingBenchmarking	DNA17	P5	9.5
364527_505-LP3-16S-0505	Valais_21	Sample	Valais	DNA38	P6	6.8
364527_384-LP3-16S-0384	Grenchen_2022-03-08_2A	Sample	SoilColonialization	DNA15	P4	4.6
364527_506-LP3-16S-0506	Valais_31	Sample	Valais	DNA38	P6	2.3
364527_385-LP3-16S-0385	SB_must_RT_immediately_1	Sample	SamplingBenchmarking	DNA17	P5	9.9
364527_507-LP3-16S-0507	Valais_24	Sample	Valais	DNA38	P6	2.7
364527_386-LP3-16S-0386	SB_must_RT_immediately_2	Sample	SamplingBenchmarking	DNA17	P5	8.3
364527_508-LP3-16S-0508	Valais_27	Sample	Valais	DNA38	P6	3.0
364527_387-LP3-16S-0387	SB_must_RT_immediately_3	Sample	SamplingBenchmarking	DNA17	P5	6.7
364527_534-LP3-16S-0534	Valais_58	Sample	Valais	DNA38	P6	4.2
364527_535-LP3-16S-0535	Valais_69	Sample	Valais	DNA38	P6	3.6
364527_414-LP3-16S-0414	SB_must_min20_1month_3	Sample	SamplingBenchmarking	DNA17	P5	6.6
364527_536-LP3-16S-0536	Valais_95	Sample	Valais	DNA38	P6	3.9
364527_415-LP3-16S-0415	DNA17_PosCtrl	PosCtrl	SamplingBenchmarking	DNA17	P5	13.4
364527_537-LP3-16S-0537	Valais_74	Sample	Valais	DNA38	P6	4.4
364527_416-LP3-16S-0416	empty?	Sample	NOT-USE	DNA17	P5	4.4
364527_542-LP3-16S-0542	Valais_63	Sample	Valais	DNA38	P6	5.3
364527_421-LP3-16S-0421	SB_swab(cotton)_4deg_24h_2	Sample	SamplingBenchmarking	DNA17	P5	2.4
364527_543-LP3-16S-0543	Valais_65	Sample	Valais	DNA38	P6	6.2
364527_422-LP3-16S-0422	SB_swab(cotton)_4deg_24h_3	Sample	SamplingBenchmarking	DNA17	P5	2.6
364527_423-LP3-16S-0423	SB_must_freeze_immediately_1	Sample	SamplingBenchmarking	DNA17	P5	3.1
364527_538-LP3-16S-0538	Valais_85	Sample	Valais	DNA38	P6	3.7
364527_417-LP3-16S-0417	SB_swab(cotton)_freeze_immediately_1	Sample	SamplingBenchmarking	DNA17	P5	2.2
364527_539-LP3-16S-0539	Valais_96	Sample	Valais	DNA38	P6	3.4
364527_418-LP3-16S-0418	SB_swab(cotton)_freeze_immediately_2	Sample	SamplingBenchmarking	DNA17	P5	1.9
364527_540-LP3-16S-0540	Valais_89	Sample	Valais	DNA38	P6	11.0
364527_419-LP3-16S-0419	SB_swab(cotton)_freeze_immediately_3	Sample	SamplingBenchmarking	DNA17	P5	2.2
364527_541-LP3-16S-0541	Valais_73	Sample	Valais	DNA38	P6	3.9
364527_420-LP3-16S-0420	SB_swab(cotton)_4deg_24h_1	Sample	SamplingBenchmarking	DNA17	P5	7.6
364527_403-LP3-16S-0403	SB_must_min80_1month_1	Sample	SamplingBenchmarking	DNA17	P5	4.1
364527_524-LP3-16S-0524	Valais_71	Sample	Valais	DNA38	P6	3.3
364527_525-LP3-16S-0525	Valais_57	Sample	Valais	DNA38	P6	2.4
364527_404-LP3-16S-0404	SB_must_min80_1month_2	Sample	SamplingBenchmarking	DNA17	P5	3.1
364527_526-LP3-16S-0526	Valais_52	Sample	Valais	DNA38	P6	2.8
364527_405-LP3-16S-0405	SB_must_min80_1month_3	Sample	SamplingBenchmarking	DNA17	P5	2.5
364527_531-LP3-16S-0531	Valais_97	Sample	Valais	DNA38	P6	4.6
364527_410-LP3-16S-0410	SB_must_min20_1wk_2	Sample	SamplingBenchmarking	DNA17	P5	1.2
364527_532-LP3-16S-0532	Valais_72	Sample	Valais	DNA38	P6	4.6
364527_411-LP3-16S-0411	SB_must_min20_1wk_3	Sample	SamplingBenchmarking	DNA17	P5	2.6
364527_533-LP3-16S-0533	Valais_53	Sample	Valais	DNA38	P6	5.7
364527_412-LP3-16S-0412	SB_must_min20_1month_1	Sample	SamplingBenchmarking	DNA17	P5	2.5
364527_413-LP3-16S-0413	SB_must_min20_1month_2	Sample	SamplingBenchmarking	DNA17	P5	2.2
364527_527-LP3-16S-0527	Valais_92	Sample	Valais	DNA38	P6	2.6
364527_406-LP3-16S-0406	SB_must_min20_24h_1	Sample	SamplingBenchmarking	DNA17	P5	3.2
364527_528-LP3-16S-0528	Valais_51	Sample	Valais	DNA38	P6	2.1
364527_407-LP3-16S-0407	SB_must_min20_24h_2	Sample	SamplingBenchmarking	DNA17	P5	3.2
364527_529-LP3-16S-0529	Valais_82	Sample	Valais	DNA38	P6	7.2
364527_408-LP3-16S-0408	SB_must_min20_24h_3	Sample	SamplingBenchmarking	DNA17	P5	3.6
364527_530-LP3-16S-0530	Valais_88	Sample	Valais	DNA38	P6	5.7
364527_409-LP3-16S-0409	SB_must_min20_1wk_1	Sample	SamplingBenchmarking	DNA17	P5	5.2
364527_473-LP3-16S-0473	visc_blank_2	Sample	SamplingBenchmarking	DNA17	P5	14.5
364527_469-LP3-16S-0469	visc_min20_1	Sample	SamplingBenchmarking	DNA17	P5	12.2
364527_470-LP3-16S-0470	visc_min20_2	Sample	SamplingBenchmarking	DNA17	P5	7.6
364527_471-LP3-16S-0471	visc_min20_3	Sample	SamplingBenchmarking	DNA17	P5	12.3
364527_472-LP3-16S-0472	visc_blank_1	Sample	SamplingBenchmarking	DNA17	P5	10.5
364527_476-LP3-16S-0476	Grenchen_2022-03-08_2B	Sample	SoilColonialization	DNA16	P5	14.9
364527_355-LP3-16S-0355	Grenchen_2022-10-20_1C	Sample	SoilColonialization	DNA15	P4	6.4
364527_477-LP3-16S-0477	Grenchen_2022-10-20_1B	Sample	SoilColonialization	DNA16	P5	15.7
364527_356-LP3-16S-0356	empty	Sample	NOT-USE	DNA15	P4	3.3
364527_478-LP3-16S-0478	Grenchen_2021-10-13_soil_1C	Sample	SoilColonialization	DNA16	P5	13.8
364527_357-LP3-16S-0357	Grenchen_2022-10-20_1A	Sample	SoilColonialization	DNA15	P4	2.2
364527_479-LP3-16S-0479	Grenchen_2021-10-13_soil_1B	Sample	SoilColonialization	DNA16	P5	14.8
364527_358-LP3-16S-0358	Grenchen_2022-07-02_1B	Sample	SoilColonialization	DNA15	P4	3.0
364527_474-LP3-16S-0474	visc_blank_3	Sample	SamplingBenchmarking	DNA17	P5	14.6
364527_475-LP3-16S-0475	Grenchen_2021-07-21_soil_2C	Sample	SoilColonialization	DNA16	P5	13.5
364527_354-LP3-16S-0354	Grenchen_2022-10-20_2A	Sample	SoilColonialization	DNA15	P4	2.2
364527_462-LP3-16S-0462	must_4deg_3	Sample	SamplingBenchmarking	DNA17	P5	15.2
364527_463-LP3-16S-0463	cotton_blank1	Sample	SamplingBenchmarking	DNA17	P5	12.8
364527_458-LP3-16S-0458	must_min20_2	Sample	SamplingBenchmarking	DNA17	P5	10.9
364527_459-LP3-16S-0459	must_min20_3	Sample	SamplingBenchmarking	DNA17	P5	13.2
364527_460-LP3-16S-0460	must_4deg_1	Sample	SamplingBenchmarking	DNA17	P5	14.8
364527_461-LP3-16S-0461	must_4deg_2	Sample	SamplingBenchmarking	DNA17	P5	13.7
364527_465-LP3-16S-0465	cotton_blank3	Sample	SamplingBenchmarking	DNA17	P5	10.1
364527_466-LP3-16S-0466	visc_4deg_1	Sample	SamplingBenchmarking	DNA17	P5	6.7
364527_467-LP3-16S-0467	visc_4deg_2	Sample	SamplingBenchmarking	DNA17	P5	6.0
364527_468-LP3-16S-0468	visc_4deg_3	Sample	SamplingBenchmarking	DNA17	P5	12.3
364527_464-LP3-16S-0464	cotton_blank2	Sample	SamplingBenchmarking	DNA17	P5	13.3
364527_491-LP3-16S-0491	Valais_9	Sample	Valais	DNA38	P6	3.4
364527_370-LP3-16S-0370	Grenchen_2021-06-11_soil_1B	Sample	SoilColonialization	DNA15	P4	3.6
364527_492-LP3-16S-0492	Valais_13	Sample	Valais	DNA38	P6	4.1
364527_371-LP3-16S-0371	Grenchen_2022-03-08_1C	Sample	SoilColonialization	DNA15	P4	3.5
364527_493-LP3-16S-0493	Valais_14	Sample	Valais	DNA38	P6	2.8
364527_372-LP3-16S-0372	Grenchen_2022-07-02_1A	Sample	SoilColonialization	DNA15	P4	4.5
364527_373-LP3-16S-0373	Grenchen_2021-06-11_soil_2D_ref	Sample	SoilColonialization	DNA15	P4	3.9
364527_498-LP3-16S-0498	Valais_19	Sample	Valais	DNA38	P6	3.6
364527_377-LP3-16S-0377	Grenchen_2022-07-02_2A	Sample	SoilColonialization	DNA15	P4	3.3
364527_499-LP3-16S-0499	Valais_28	Sample	Valais	DNA38	P6	3.6
364527_378-LP3-16S-0378	Grenchen_2021-06-11_soil_1A_ref	Sample	SoilColonialization	DNA15	P4	3.9
364527_500-LP3-16S-0500	Valais_34	Sample	Valais	DNA38	P6	5.1
364527_379-LP3-16S-0379	Grenchen_2021-07-21_soil_2A	Sample	SoilColonialization	DNA15	P4	4.2
364527_501-LP3-16S-0501	Valais_36	Sample	Valais	DNA38	P6	2.7
364527_380-LP3-16S-0380	empty	Sample	NOT-USE	DNA15	P4	4.2
364527_494-LP3-16S-0494	Valais_10	Sample	Valais	DNA38	P6	5.6
364527_495-LP3-16S-0495	Valais_3	Sample	Valais	DNA38	P6	3.7
364527_374-LP3-16S-0374	Grenchen_2021-06-11_soil_1C	Sample	SoilColonialization	DNA15	P4	3.6
364527_496-LP3-16S-0496	Valais_25	Sample	Valais	DNA38	P6	3.9
364527_375-LP3-16S-0375	Grenchen_2021-06-11_soil_2B	Sample	SoilColonialization	DNA15	P4	4.4
364527_497-LP3-16S-0497	Valais_35	Sample	Valais	DNA38	P6	7.3
364527_376-LP3-16S-0376	Grenchen_2022-03-08_2C	Sample	SoilColonialization	DNA15	P4	4.4
364527_363-LP3-16S-0363	Grenchen_2022-07-02_1C	Sample	SoilColonialization	DNA15	P4	3.9
364527_480-LP3-16S-0480	Grenchen_2021-10-13_soil_1A	Sample	SoilColonialization	DNA16	P5	13.7
364527_359-LP3-16S-0359	Erlenbach_2022-08-11_3	Sample	SoilColonialization	DNA15	P4	1.7
364527_481-LP3-16S-0481	Valais_7	Sample	Valais	DNA38	P6	9.0
364527_360-LP3-16S-0360	empty	Sample	NOT-USE	DNA15	P4	4.7
364527_482-LP3-16S-0482	Valais_30	Sample	Valais	DNA38	P6	10.3
364527_361-LP3-16S-0361	Grenchen_2021-07-21_soil_1A	Sample	SoilColonialization	DNA15	P4	3.7
364527_483-LP3-16S-0483	Valais_2	Sample	Valais	DNA38	P6	6.9
364527_362-LP3-16S-0362	Grenchen_2021-07-21_soil_1C	Sample	SoilColonialization	DNA15	P4	3.1
364527_487-LP3-16S-0487	Valais_23	Sample	Valais	DNA38	P6	9.6
364527_366-LP3-16S-0366	Grenchen_2022-03-08_1B	Sample	SoilColonialization	DNA15	P4	4.0
364527_488-LP3-16S-0488	Valais_4	Sample	Valais	DNA38	P6	8.6
364527_367-LP3-16S-0367	Grenchen_2022-03-08_1A	Sample	SoilColonialization	DNA15	P4	3.5
364527_489-LP3-16S-0489	Valais_20	Sample	Valais	DNA38	P6	11.2
364527_368-LP3-16S-0368	Grenchen_2021-06-11_soil_2B_ref	Sample	SoilColonialization	DNA15	P4	3.4
364527_490-LP3-16S-0490	Valais_29	Sample	Valais	DNA38	P6	8.9
364527_369-LP3-16S-0369	Grenchen_2021-06-11_soil_1A	Sample	SoilColonialization	DNA15	P4	3.7
364527_484-LP3-16S-0484	Valais_33	Sample	Valais	DNA38	P6	10.8
364527_485-LP3-16S-0485	Valais_26	Sample	Valais	DNA38	P6	8.2
364527_364-LP3-16S-0364	empty	Sample	NOT-USE	DNA15	P4	3.4
364527_486-LP3-16S-0486	Valais_22	Sample	Valais	DNA38	P6	10.9
364527_365-LP3-16S-0365	empty	Sample	NOT-USE	DNA15	P4	3.1
364527_554-LP3-16S-0554	Valais_62	Sample	Valais	DNA38	P6	9.0
364527_555-LP3-16S-0555	Valais_77	Sample	Valais	DNA38	P6	10.8
364527_556-LP3-16S-0556	Valais_78	Sample	Valais	DNA38	P6	16.8
364527_051-LP3-16S-0051	Lavaux_2021-09-30_must_Plot15_Row2/Vine11_ID120	Sample	Lavaux	DNA11	P1	3.1
364527_052-LP3-16S-0052	Lavaux_2021-09-30_must_Plot14_Row7/Vine8_ID108	Sample	Lavaux	DNA11	P1	3.0
364527_053-LP3-16S-0053	Lavaux_2021-09-30_must_Plot20_Row4/Vine10_ID202	Sample	Lavaux	DNA11	P1	3.6
364527_572-LP3-16S-0572	MV_Post-MLF_Plot5_2023-12-11	Sample	Lavaux	DNA38	P6	14.5
364527_573-LP3-16S-0573	MV_Must_Plot19_2023-09-23	Sample	Lavaux	DNA38	P6	14.2
364527_568-LP3-16S-0568	MV_Post-AF_Plot13_2023-10-11	Sample	Lavaux	DNA38	P6	9.4
364527_569-LP3-16S-0569	MV_Must_Plot13_2023-09-23	Sample	Lavaux	DNA38	P6	14.5
364527_570-LP3-16S-0570	MV_Post-MLF_Plot13_2023-12-11	Sample	Lavaux	DNA38	P6	15.8
364527_571-LP3-16S-0571	MV_Post-MLF_Plot9_2023-12-11	Sample	Lavaux	DNA38	P6	11.6
364527_575-LP3-16S-0575	MV_Must_Plot14_2023-09-23	Sample	Lavaux	DNA38	P6	11.8
364527_454-LP3-16S-0454	cotton_tips_2	Sample	SamplingBenchmarking	DNA17	P5	2.6
364527_576-LP3-16S-0576	DNA38_PosCtrl	PosCtrl	Lavaux	DNA38	P6	17.4
364527_455-LP3-16S-0455	cotton_tips_3	Sample	SamplingBenchmarking	DNA17	P5	2.3
364527_456-LP3-16S-0456	DNA17_NegCtrl	NegCtrl	SamplingBenchmarking	DNA17	P5	12.8
364527_457-LP3-16S-0457	must_min20_1	Sample	SamplingBenchmarking	DNA17	P5	12.9
364527_574-LP3-16S-0574	MV_Post-AF_Plot12_2023-10-11	Sample	Lavaux	DNA38	P6	13.6
364527_561-LP3-16S-0561	Valais_56	Sample	Valais	DNA38	P6	10.6
364527_562-LP3-16S-0562	Valais_75	Sample	Valais	DNA38	P6	14.5
364527_563-LP3-16S-0563	Valais_84	Sample	Valais	DNA38	P6	6.1
364527_557-LP3-16S-0557	Valais_67	Sample	Valais	DNA38	P6	13.5
364527_558-LP3-16S-0558	Valais_64	Sample	Valais	DNA38	P6	14.2
364527_559-LP3-16S-0559	Valais_93	Sample	Valais	DNA38	P6	13.1
364527_560-LP3-16S-0560	Valais_98	Sample	Valais	DNA38	P6	12.1
364527_564-LP3-16S-0564	Valais_94	Sample	Valais	DNA38	P6	12.4
364527_565-LP3-16S-0565	Valais_80	Sample	Valais	DNA38	P6	12.3
364527_566-LP3-16S-0566	DNA38_NegCtrl	NegCtrl	Valais	DNA38	P6	8.3
364527_567-LP3-16S-0567	MV_Post-MLF_Plot4_2023-12-11	Sample	Lavaux	DNA38	P6	9.8
