,Plot,Year,average_rh,median_rh,maximum_rh,minimum_rh,cv_rh,GDD,average_temperature,median_temperature,maximum_temperature,minimum_temperature,accumulated_temperature,cv_temperature
0,Plot_11,2021,71.9489584971331,72.50186956521739,96.43716666666667,32.357791666666664,16.11835139160641,1297.271087217715,17.964399200932395,18.5414375,26.77528571428571,7.966541666666667,2910.232670551048,23.24693891229113
1,Plot_11,2022,,,,,,,,,,,,
2,Plot_11,2023,65.12983899233471,64.26498135964911,89.97219047619048,35.90625,15.448469736756929,1370.1439857328598,22.68651838641537,22.83276315789474,30.04026086956522,13.889263157894735,2450.14398573286,13.681665183346494
3,Plot_12,2021,72.75329490532629,72.9347106060606,97.11387500000001,32.10463636363637,16.661423319979473,1286.8228752273058,17.897068636831477,18.24498376623377,27.50914285714285,7.779875,2899.3251191667,23.615954757680104
4,Plot_12,2022,63.60289594419744,63.33315851449276,93.589375,38.19613043478261,19.677381758370252,1758.322213583666,19.428427724340903,20.80901785714285,31.271750000000004,1.02925,3535.973845830045,30.369937888010988
5,Plot_12,2023,65.4501338799019,65.50933333333333,88.51338888888888,39.781695652173916,16.223530186448315,1619.3876467892926,19.13398521786621,20.29145833333333,30.81457142857143,4.793583333333333,3310.179442690855,31.92954527188493
6,Plot_13,2021,71.33489526587412,71.96485294117647,92.32479166666667,32.54754166666667,15.751160718490064,1233.0181250659637,17.544612421082768,17.90284090909091,26.10758333333333,7.337739130434783,2842.2272122154086,23.908978191786225
7,Plot_13,2022,63.572178278008884,63.45324728260869,91.05149999999999,40.365391304347824,18.7794413298518,1667.5740922203397,18.907506543784034,20.375625,29.58726086956522,0.5585416666666666,3441.166190968694,30.472147877708327
8,Plot_13,2023,67.84668153145041,64.00642105263158,98.5665,43.27136363636364,21.844328366375272,,,,,,,
9,Plot_14,2021,70.76744679432959,70.51716477272728,95.27910526315789,33.10786363636363,15.496785478367062,1356.0312805524186,18.343626731805053,18.93947321428572,26.505666666666663,8.440041666666668,2971.6675305524186,22.57047640050412
10,Plot_14,2022,62.37145889142779,63.14453442028986,91.08816666666667,39.12554166666667,18.878193410356417,1814.939051745718,19.765835662706856,21.0729375,30.17795652173913,1.6722083333333335,3597.3820906126475,29.414450033081867
11,Plot_14,2023,66.13487730252464,66.187,95.43741666666666,40.120217391304344,17.399048944144514,1627.3932555035915,19.227704364978457,20.60155,30.793041666666667,5.737913043478261,3326.392855141273,30.38719618382807
12,Plot_15,2021,72.1040230548236,71.769375,99.44491666666666,33.22309090909091,16.546104683139284,1286.6285310673416,17.89271319499432,18.384715909090907,26.26125,7.47708695652174,2898.61953758908,23.28344880916049
13,Plot_15,2022,63.96639031168107,63.8038125,95.47475000000001,39.79717391304348,19.899882334446158,1732.8901486976924,19.288725440451795,20.702195652173916,29.617291666666663,0.9209166666666668,3510.5480301622265,30.163551687416074
14,Plot_15,2023,66.82933090255224,66.97604166666666,93.37487499999999,40.255541666666666,17.420751830140304,1584.8783491290744,18.944659540714035,20.3025,30.26954166666667,4.7941666666666665,3275.8715558678177,31.38860989201177
15,Plot_17,2021,72.0767680178312,72.0068125,97.04042857142858,32.573458333333335,16.381957927371836,1376.562043944347,18.47653496382774,19.06713315217392,26.18158333333333,8.854541666666666,2993.1986641400936,21.847832145961227
16,Plot_17,2022,64.19980586069136,64.64821086956522,92.55227083333332,42.74269565217391,17.641951638593916,1800.0409882396025,19.70625567804884,20.99571875,29.67320561594203,2.163813888888889,3586.5385334048888,28.50086712574018
17,Plot_17,2023,67.5307735205848,67.044875,93.13792844202898,39.784633928571424,16.079988253962682,1628.356059304312,19.332390461685097,21.007026785714285,30.048157196969697,5.987241666666666,3330.6325385941877,29.4128796667939
18,Plot_18,2021,72.15820951967315,72.05941145833333,98.90501041666666,32.43475,16.733437713410133,1314.797006148245,18.081397875780898,18.791291666666663,26.273697916666663,8.249697916666667,2929.186455876505,22.75462193467938
19,Plot_18,2022,,,,,,,,,,,,
20,Plot_18,2023,52.54614472403802,52.035395833333325,67.64999999999999,40.778125,9.384457688955186,1720.2564383116885,24.455936456400742,24.726777777777777,31.8014,12.659333333333334,2910.2564383116883,10.584727597464166
21,Plot_19,2021,70.31305002880372,70.7,98.56521739130434,26.333333333333332,17.802871965665318,,16.008015294727183,16.288025210084033,23.59375,6.876190476190477,2561.282447156349,23.37348801043625
22,Plot_19,2022,61.48377999759651,60.387019230769226,99.11111111111111,33.84615384615385,23.550796864818324,,17.317903517298372,18.273333333333333,27.29375,0.1,3151.8584401483035,30.748368586011388
23,Plot_19,2023,64.70893460752929,64.91666666666667,95.3,37.833333333333336,21.160915259832798,1350.831700077304,17.45756175101301,18.71538461538461,28.076470588235296,3.5,3020.158182925251,32.703130285858265
24,Plot_20,2021,71.53313137136838,71.59675905797101,97.39083333333333,32.6945,16.180811678534234,1305.7437076863353,18.02897142425811,18.473770833333333,25.995791666666666,8.170416666666666,2920.693370729813,22.49078186654833
25,Plot_20,2022,62.794480729958465,62.57144112318841,94.21441666666668,39.532333333333334,19.600944481538253,1770.4752826086951,19.51814375298615,20.939104166666667,30.33983333333333,1.4505,3552.3021630434787,29.390091966697614
26,Plot_20,2023,65.95873731584868,65.70229166666667,91.64891666666666,41.192458333333335,16.67110626369902,1616.460317193676,19.150342434142885,20.546,30.496,5.1085416666666665,3313.0092411067194,30.698884845755494
27,Plot_4,2021,72.82861453294451,72.79239285714286,99.03658333333334,33.07826086956521,16.567322143078865,1325.721843007717,18.15426137659085,18.65095833333333,26.689636363636364,8.40175,2940.990343007717,22.58766724480928
28,Plot_4,2022,,,,,,,,,,,,
29,Plot_4,2023,,,,,,,,,,,,
30,Plot_5,2021,70.38258361458806,70.19239393939394,95.96433333333333,32.83045833333333,16.33171410939929,1379.3471410988768,18.494554178817545,19.04736607142857,26.35140909090909,8.816374999999999,2996.1177769684423,22.10486652094672
31,Plot_5,2022,62.500642405653345,62.72834782608696,92.56941666666667,39.567458333333335,19.020358660722938,1830.7272928890088,19.867448542342025,21.387434782608693,29.9564347826087,1.875434782608696,3615.875634706249,29.02999188886791
32,Plot_5,2023,65.74562767260802,65.44981818181817,92.60837500000001,40.62683333333333,16.66581361017699,1665.5265344346535,19.465184816962555,20.861608695652173,30.70325,5.860625,3367.476973334522,30.169202357195054
33,Plot_9,2021,73.02254133079511,73.07758498023716,98.18154166666666,32.794125,16.570451256501585,1286.2540214285714,17.90258477499866,18.256629166666663,25.850772727272727,8.052083333333334,2900.218733549784,22.831881134138296
34,Plot_9,2022,63.54264337631658,63.26971739130434,95.741,39.97713636363636,19.630812412080697,1742.8271098576986,19.34325639074639,20.62439456521739,29.494636363636367,1.002916666666667,3520.4726631158437,29.64166314192116
35,Plot_9,2023,64.77403876029467,62.72385714285714,100.0,39.682809523809524,19.75550042212223,1541.1552150135765,21.00825153581125,21.2732306501548,30.083045454545456,11.01145,2941.155215013576,19.85306561442409
