Variety,Domaine,Plot,N-tester_beginning_August,Fertility,Cover_Cropping,07.Jun,27.Jun,17.Jul,09.Aug,23.Aug,Berry_Weight,Wood_Weight,M_Brix,M_Oe_Refr,M_D20/20,M_Oe D20/20,M_Extr,M_pH,M_AT,M_Tart,M_Mal,M_Lact,M_NH3,M_N-amino,M_Nass,M_Glyc,M_Glu,M_Fru,M_GreyRotB,M_AcRot,NH3_SEQ,N-amino SEQ,N_Assim SEQ,K_SEQ
Chasselas,réseau VS,Bernu_1,580,1.708333333,3,-3.0,-5.1,-5.9,-6.5,-6.5,2.2885,26.75,19.2,79.4,1.0804,80.4,210,3.94,3.9,6.6,1.4,0.34,65.2,157.4,211.1,0.2,92.9,105.6,2,14,59.3,165.7,214.5,2222
Chasselas,réseau VS,Bernu_2,544,1.513333333,2,-2.3,-3.1,-5.6,-6.1,-3.4,2.1105,38.32,18.1,74.4,1.0755,75.5,197.1,3.58,4.2,6.3,1.2,0.33,53.4,105,149,0.1,88.5,100,11,16,44.6,112.2,148.9,1679
Chasselas,réseau VS,Bram_2,498,0.899371069,2,-1.5,-3.0,-2.6,-5.2,-5.5,2.982,29.76,16.9,69.2,1.07051,70.5,183.9,3.42,4.8,5.9,1.9,0.61,60.5,86.2,136,0,84.1,93.6,8,15,39.9,90.8,123.7,1511
Chasselas,réseau VS,Chamos_2,398,,3,,,,-5.3,,2.3185,41.50,18.6,76.6,1.0782,78.2,204.2,3.35,5.1,6.8,1.1,0.58,46.6,48,86.4,0,92.7,103.4,18,18,19.7,47.8,64,1422
Chasselas,réseau VS,Chamos_3,556,1.632653061,2,-1.4,-1.6,-1.3,-3.1,-3.5,2.795,41.48,17.7,72.9,1.0742,74.2,193.7,3.62,4,5.8,1.6,0.37,87.1,141,212.7,0.1,85.9,99.7,8,14,69.2,149.1,206.1,1576
Chasselas,réseau VS,Châto,530,1.855855856,3,,,,-2.9,,2.7965,54.28,18.7,77.1,1.0787,78.7,205.6,3.63,4.4,6.5,1.3,0.39,47.2,82.5,121.4,0.2,91.9,104.4,11,17,37.7,91,122,1933
Chasselas,réseau VS,Conth_1,395,1.211009174,1,-1.6,-1.9,-2.1,-3.2,-4.3,2.5245,38.99,17.8,73.3,1.0748,74.8,195.3,3.48,5.7,7,2,0.5,64.4,98.4,151.4,0,87.3,98,9,14,50.2,101.7,143,1740
Chasselas,réseau VS,Conth_2,342,1.18556701,3,-1.5,-2.4,-3.9,-3.7,-2.2,2.261,25.74,17.9,73.8,1.0752,75.2,196.3,3.6,5.2,6.5,2,0.71,38.6,87.9,119.7,0,87.9,99.4,3,15,30.2,98,122.9,1908
Chasselas,réseau VS,Conth_3,416,1.216494845,3,-1.8,-2.9,-3.7,-5.1,-2.1,2.5865,36.98,18.5,76.2,1.0777,77.7,202.9,3.54,5.2,6.7,2,0.37,63.7,110.9,163.3,0.2,91,100.9,8,14,47,127.5,166.2,1861
Chasselas,réseau VS,Evou_1,442,1.169117647,2,,,,-1.7,,2.702,34.18,16.7,68.3,1.06971,69.7,181.8,3.45,6.1,6.3,2.8,0.53,56,103.1,149.3,0.1,81.2,89.5,5,14,43.9,111.7,147.9,1722
Chasselas,réseau VS,Fully_1,558,1.828025478,2,,,,-4.0,,2.5225,54.61,17.2,70.7,1.07201,72,187.9,3.55,4.5,6.4,1.5,0.34,72.2,108.8,168.3,0.1,83.7,95.7,12,14,57.4,117,164.3,1671
Chasselas,réseau VS,Fully_2,517,1.629139073,3,-0.9,-2.0,-3.4,-4.0,-2.5,2.248,39.68,18.7,77.2,1.0787,78.7,205.6,3.45,5.4,6.9,1.8,0.45,50.4,73,114.5,0.1,93.2,103.5,15,16,32.6,80.7,107.5,1685
Chasselas,réseau VS,Fully_5,492,1.660714286,2,,,,-3.7,,2.5585,53.17,18.8,77.7,1.0792,79.2,206.9,3.59,4.6,6.5,1.3,0.48,29.7,56.2,80.7,0.1,94,103.1,13,17,23.3,68.4,87.6,1859
Chasselas,réseau VS,Gampel_2,589,1.158415842,2,,,,-2.5,,2.9305,38.11,17.7,73,1.0745,74.5,194.5,3.45,5.1,6.3,1.8,0.41,78,107.6,171.8,0.1,86.6,99.3,13,15,61.6,114.9,165.6,1527
Chasselas,réseau VS,Grone_1,513,1.062827225,2,,,,-3.7,,2.266,27.79,18,74,1.0753,75.3,196.6,3.58,4.4,6.4,1.3,0.43,60.9,93.8,144,0,87.3,100.7,11,16,45,96.2,133.3,1808
Chasselas,réseau VS,Leuk_2,423,1.567164179,3,-1.7,-4.8,-4.4,-4.2,-7.1,2.088,27.33,17.4,71.4,1.07261,72.6,189.5,3.55,5.4,7.1,1.8,0.29,62.7,92.6,144.2,0.1,85.2,94.7,13,13,54.8,101.2,146.3,1746
Chasselas,réseau VS,Leytron_1,566,1.427480916,1,,,,-5.4,,2.6795,56.72,18,74.3,1.0755,75.5,197.1,3.61,4.8,6.7,1.7,0.3,82.9,130.7,199,0.1,88.1,99.8,11,14,69,143.4,200.2,1829
Chasselas,P3,Leytron_3,522,,1,-1.2,-2.0,-2.6,-5.8,-6.1,2.6,39.5,,,,,,3.45,4.0,6.0,0.9,,,,119,,,,,,,,,
Chasselas,P3,Leytron_4,450,,3,-1.5,-3.0,-3.4,-6.2,-9.0,1.7,23.7,,,,,,3.54,4.0,6.2,0.5,,,,134,,,,,,,,,
Chasselas,réseau VS,Leytron_7,421,1.616071429,2,,,,-2.4,,2.5345,45.59,18.6,76.6,1.0781,78.1,204,3.67,4.2,6,1.7,0.46,55.1,97.5,142.9,0.1,91.4,103.6,7,16,35.1,110.1,139,1817
Chasselas,réseau VS,Loc,558,2.050420168,2,,,,-4.4,,2.3215,28.00,17.5,72,1.0733,73.3,191.3,3.57,4.3,6.1,1.5,0.44,48.6,57.6,97.6,0,85.5,97.9,7,16,26.7,63.5,85.5,1768
Chasselas,réseau VS,Mart_1,429,1.302752294,1,-1.1,-2.2,-2.6,-3.9,-5.1,2.883,32.59,20.2,83.9,1.08519,85.2,222.7,3.62,4.2,5.8,1.3,0.69,46.8,71.7,110.2,0.1,102.2,111.8,9,19,20.8,74.9,92,1697
Chasselas,réseau VS,Mart_2,358,1.190909091,2,-1.4,-2.3,-2.7,-3.8,-5.0,2.597,35.75,19,78.6,1.08,80,209,3.44,4.9,6.2,1.6,0.6,46.5,68.2,106.4,0,96.2,105,14,18,26.2,75.7,97.3,1554
Chasselas,réseau VS,Mart_4,408,1.64028777,3,,,,-1.9,,2.893,44.20,16.7,68.4,1.06981,69.8,182.1,3.48,5.4,5.9,2.6,0.68,51.1,79.2,121.3,0,82.7,91.6,3,13,37.9,85.4,116.6,1615
Chasselas,réseau VS,Mart_5,432,1.111888112,3,,,,-5.7,,1.719,28.74,19.4,80.1,1.08129,81.3,212.4,3.69,4.1,6.5,1,0.49,41.7,74.4,108.7,0.1,96.6,106.3,14,18,31.8,80.8,107,1839
Chasselas,réseau VS,Miege_1,604,1.772357724,2,-2.6,-2.9,-3.5,-4.1,-4.2,2.539,40.73,18.7,77.3,1.0786,78.6,205.3,3.67,3.9,6,1.3,0.46,54.6,117.3,162.2,0.1,92.8,103.8,7,16,45.5,127.6,165.1,1736
Chasselas,réseau VS,Muraz_2,501,1.360655738,3,-1.8,-3.6,-5.0,-5.4,-6.1,2.472,36.43,19.1,78.8,1.0801,80.1,209.3,3.57,4.3,6.1,1.3,0.62,44.7,73.6,110.4,0.1,95.2,105.7,9,18,23.6,77.4,96.8,1744
Chasselas,réseau VS,Muraz_4,507,1.813432836,2,,,,-4.7,,3.4055,38.84,17.5,71.9,1.0733,73.3,191.3,3.56,4.9,6.1,2,0.57,56.8,71.5,118.2,0,86.1,97.2,3,15,33.8,80.3,108.1,1814
Chasselas,réseau VS,Pinède_2,473,1.628571429,2,,,,-3.3,,2.3475,40.61,17.9,73.5,1.0748,74.8,195.3,3.56,5.3,6.9,1.9,0.37,67.7,100.2,155.9,0.1,87,98.1,9,14,51.3,105.5,147.7,1895
Chasselas,réseau VS,Riddes_2,414,1.553956835,2,-1.1,-1.9,-1.2,-2.7,-4.6,3.2185,58.43,16.7,68.2,1.07001,70,182.6,3.37,6.2,6.2,3,0.64,50,61.2,102.4,0,81.5,90.9,11,14,23.8,66.1,85.7,1640
Chasselas,réseau VS,Sav_2,601,1.608695652,1,-1.2,-2.3,-1.6,-2.9,-3.5,2.825,43.68,18.2,75,1.0762,76.2,199,3.7,4.5,6.6,1.5,0.39,87.5,151.9,223.9,0.2,87.7,101.3,9,14,71,153.7,212.2,1822
Chasselas,réseau VS,Sav_4,373,1.818181818,3,-2.0,-4.2,-2.4,-4.8,-8.2,2.1945,25.17,15.6,63.6,1.06482,64.8,169,3.39,6.1,7.3,1.9,0.48,74.8,108.7,170.3,0,73.8,84.6,7,11,59.5,102.8,151.8,1666
Chasselas,réseau VS,Saxon_2,430,1.82,2,,,,-3.3,,2.189,36.44,17.9,73.8,1.0753,75.3,196.6,3.41,5.5,6.7,1.8,0.49,57.7,56,103.5,0,87.8,99.2,11,16,27.2,60.5,82.9,1653
Chasselas,réseau VS,Sierre_1,558,1.20754717,3,-2.2,-2.7,-3.7,-6.2,-7.3,2.225,34.73,19.3,80,1.08129,81.3,212.4,3.65,4,6.6,0.9,0.33,50,82.2,123.3,0.1,95.1,107.7,14,18,35.3,89.5,118.6,1803
Chasselas,réseau VS,Sion_1,480,1.465517241,2,,,,-3.5,,2.5855,30.23,17.1,70,1.07131,71.3,186.1,3.53,5.8,7.4,1.9,0.36,67.7,106.7,162.4,0,81.8,92.5,11,12,59.1,109.1,157.8,1874
Chasselas,réseau VS,Stalden_2,513,1.5,3,,,,-4.0,,1.9975,34.32,17.2,70.6,1.07181,71.8,187.4,3.35,5.3,6.8,1.4,0.33,73.3,69.3,129.7,0,84.9,94.2,21,15,47.5,79.6,118.7,1337
Chasselas,réseau VS,Venth_3,557,1.353383459,3,-2.6,-4.8,-3.9,-3.8,-5.1,1.9155,34.10,19.5,80.8,1.08189,81.9,214,3.89,3.5,5.8,1.4,0.51,43.9,111.5,147.7,0.2,96.4,108.8,3,17,34.9,121.9,150.6,1986
Chasselas,réseau VS,Vétroz_1,552,1.186915888,1,,,,-5.5,-5.9,2.0915,40.01,20.2,84,1.08519,85.2,222.7,3.9,3.9,6.8,0.9,0.32,70.6,127.8,185.9,0.2,97.5,113,11,17,61.5,142.1,192.7,2008
Chasselas,réseau VS,Vétroz_4,469,1.181034483,2,,,,-4.0,,2.451,38.47,19.1,79.1,1.0804,80.4,210,3.72,4.7,6.7,1.8,0.39,63,136.6,188.5,0.1,94,104.4,6,15,53.7,146.6,190.8,1972
Pinot noir,réseau VS,Bram_1,523,1.5,2,-1.3,-2.8,-2.3,-4.3,-4.6,1.25,27.68,17.2,70.7,1.07301,73,190.5,3.17,7.3,6.3,3.3,0.6,69.9,91,148.6,0.1,85.4,93.4,22,13,45.2,88.3,125.5,1281
Pinot noir,réseau VS,Chamos_1,624,1.756756757,3,,,,-3.5,,0.82,43.54,20.4,84.8,1.08729,87.3,228.3,3.27,5.4,5.6,1.9,0.6,65.4,101.2,155.1,0.4,104.7,111.9,20,20,45.2,100.2,137.4,1173
Pinot noir,réseau VS,Chamos_4,608,1.357142857,2,-1.4,-1.4,-1.4,-2.7,-3.3,1.25,45.07,20.5,85.1,1.08759,87.6,229.1,3.57,4.5,4.6,2.6,0.61,80.2,178.3,244.4,0.5,104.3,112.5,5,16,69.5,185.9,243.1,1494
Pinot noir,réseau VS,Champlan_1,501,1.337209302,2,-1.6,-3.0,-5.1,-5.5,-9.6,1.04,28.33,17.8,73.3,1.0754,75.4,196.8,3.11,6.6,7.3,1.5,0.38,70.2,79.2,137,0.3,87.1,95.6,31,19,43.1,71.8,107.3,1134
Pinot noir,réseau VS,Champlan_2,565,1.321428571,2,-1.6,-1.1,-3.7,-3.4,-5.6,0.993333333,35.07,19.8,81.9,1.08409,84.1,219.8,3.29,6.9,5.7,3.5,0.49,112,182.6,274.8,0.4,102.1,106.5,17,12,107,197.6,285.7,1252
Pinot noir,réseau VS,Charra_1,553,1.185714286,2,,,,-2.1,,1.2,38.09,18.7,77.1,1.0793,79.3,207.1,3.3,7.4,5.4,4.5,0.41,101.1,137.9,221.1,0.5,93.8,99.4,21,15,82,143.6,211.1,1453
Pinot noir,réseau VS,Charra_2,445,1.280991736,3,,,,-2.1,,1.59,27.58,19.5,80.8,1.08279,82.8,216.4,3.24,6.2,4.7,3.3,0.81,59.2,64.5,113.3,0.5,99.8,106,26,21,13.9,50.7,62.1,1198
Pinot noir,réseau VS,Evou_2,444,0.846774194,3,,,,-1.1,,1.55,28.68,19.7,81.7,1.08419,84.2,220.1,3.29,5.3,5.5,1.9,0.62,57.9,70.5,118.1,0.4,101.1,107.6,25,22,31.3,61.8,87.6,1182
Pinot noir,réseau VS,Fully_3,543,1.404958678,2,-1.2,-2.9,-4.4,-3.0,-3.0,1.38,43.91,17.4,71.4,1.0736,73.6,192.1,3.41,6.2,4.8,4.1,0.61,109.3,197.5,287.6,0.3,88.2,94.4,3,10,100.3,204.5,287.1,1534
Pinot noir,réseau VS,Fully_4,555,1.186046512,1,-1.0,-1.1,-1.5,-5.9,-3.3,1.246666667,33.90,21.5,89.8,1.09218,92.2,241.2,3.53,4.2,4.6,2,0.67,59.5,118.8,167.8,0.5,111.1,118.8,12,20,46,129.3,167.2,1485
Pinot noir,réseau VS,Gampel_1,590,1.461538462,3,,,,-1.0,,0.71,40.46,21,87.6,1.08968,89.7,234.6,3.27,5.3,5.5,1.8,0.69,68.3,106.5,162.8,0.4,108.3,116.2,20,19,47.9,107.2,146.6,1041
Pinot noir,réseau VS,Géronde_1,571,1.695121951,2,,,,-4.6,,0.8,30.12,19.3,79.6,1.08189,81.9,214,3.59,4.4,4.6,2.4,0.6,62.2,120.2,171.4,0.4,97.2,106.1,1,16,40.7,117,150.5,1543
Pinot noir,réseau VS,Géronde_2,601,1.816901408,2,,,,-5.1,,1.173333333,26.61,18.7,77.4,1.0796,79.6,207.9,3.94,4.3,4.6,3.7,0.19,64.7,145.7,199.1,0.4,93.7,102,0,11,55.8,177,223,2225
Pinot noir,réseau VS,Granges,510,1.478787879,2,,,,-4.7,,1.383333333,25.82,18.6,76.8,1.079,79,206.3,3.38,5,4.8,2.5,0.67,65.2,88.3,142,0.3,93.4,102.7,14,16,41.8,88.8,123.2,1309
Pinot noir,réseau VS,Grone_2,610,1.44966443,2,,,,-3.1,,0.963333333,32.40,17,69.9,1.07201,72,187.9,3.09,8.5,7.3,3.7,0.56,80.4,87.3,153.5,0,84.2,91.9,26,11,54.6,79.8,124.8,1266
Pinot noir,réseau VS,Leuk_1,414,1.203007519,3,-1.9,-3.1,-4.2,-3.5,-6.5,0.933333333,29.25,19.6,81.2,1.08359,83.6,218.5,3.1,8.7,6.6,4.1,0.7,58.2,50.6,98.5,0.2,99,104.6,24,16,10.4,38.8,47.4,1117
Pinot noir,réseau VS,Leuk_3,605,1.390243902,2,-1.2,-1.9,-1.8,-1.2,-3.9,1.17,,19.3,79.9,1.08229,82.3,215,3.48,6,5.3,3.8,0.35,117.6,197.9,294.7,0.4,98.1,102.9,4,12,92.3,210,286,1640
Pinot noir,réseau VS,Leytron_2,588,1.389312977,1,,,,-3.4,,1.506666667,55.71,20,82.8,1.08509,85.1,222.5,3.64,5.6,4.7,4.2,0.58,121.5,296.3,396.4,0.6,101.3,106.7,0,10,113.4,316,409.4,1755
Pinot noir,P3,Leytron_5,615,,1,-1.2,-1.7,-1.9,-4.4,-5.7,1.2,60.5,,,,,,3.37,5.5,5.1,2.5,,,,195,,,,,,,,,
Pinot noir,P3,Leytron_6,525,,3,-1.5,-2.4,-3.0,-5.3,-8.9,0.8,34.7,,,,,,3.33,4.7,5.1,1.5,,,,125,,,,,,,,,
Pinot noir,réseau VS,Leytron_8,463,1.355371901,2,,,,-2.1,,1.406666667,31.18,21.1,87.9,1.09048,90.5,236.7,3.62,4.6,4.1,3.2,0.63,64.6,119.9,173.1,0.6,108.7,115,2,20,38.1,118.7,150.1,1630
Pinot noir,réseau VS,Mart_3,512,1.26,1,,,,-3.0,,1.076666667,38.38,19.4,80.3,1.08269,82.7,216.1,3.41,5.1,4.7,2.9,0.62,56.9,92.6,139.5,0.3,101.1,105.4,11,19,33.8,87.5,115.3,1497
Pinot noir,réseau VS,Mart_6,393,0.992424242,3,,-1.3,-2.0,-4.2,-5.3,1.673333333,30.24,20.6,85.4,1.08779,87.8,229.6,3.27,6.2,5,3.1,0.61,44.9,55.1,92.1,0.6,106.8,108.4,24,23,22.6,38.7,57.3,1216
Pinot noir,réseau VS,Miege_2,595,1.615384615,2,-2.5,-1.9,-3.4,-3.4,-4.6,1.7,29.55,21.5,89.7,1.09198,92,240.7,3.28,6.2,5.7,2.8,0.45,100.3,139,221.6,0.6,111.8,116.5,24,17,93.7,145.8,223,1150
Pinot noir,réseau VS,Miège_3,627,1.339506173,3,,-2.3,-1.9,-4.0,-4.0,1.383333333,49.86,17.7,72.6,1.0751,75.1,196.1,3.11,8.3,6.4,3.9,0.01,97.9,74.2,154.8,0.8,86.5,91.2,48,19,79.1,88.2,153.3,1296
Pinot noir,réseau VS,Muraz_1,561,1.691666667,3,-2.1,-3.5,-4.3,-4.8,-7.5,1.296666667,43.90,21.8,91,1.09348,93.5,244.7,3.34,4.4,5.9,0.6,0.26,65.5,88.7,142.7,0.9,109.3,118.5,51,23,36.1,87.1,116.8,1437
Pinot noir,réseau VS,Muraz_3,668,1.975,3,,,,-5.8,-6.0,1.216666667,37.75,20.4,84.8,1.08709,87.1,227.7,3.38,5.2,5,2.5,0.54,86.5,140.2,211.5,0.4,105.4,111.8,14,17,70.8,145.5,203.8,1303
Pinot noir,réseau VS,Pinède_1,558,1.650793651,2,,,,-1.5,,1.896666667,45.46,20.7,85.9,1.08829,88.3,230.9,3.34,6.5,5.5,3.4,0.52,111.9,174.3,266.4,0.5,104.9,112,17,15,97.4,178.6,258.8,1429
Pinot noir,réseau VS,Praviriaz,631,1.452736318,2,,,,-4.9,,1.04,31.68,18.9,77.9,1.08,80,209,3.42,5.2,5.4,2.5,0.44,85,152.4,222.5,0.4,95.7,102.8,12,15,73.7,148.5,209.2,1373
Pinot noir,réseau VS,Réchy,591,1.63,2,,,,-1.9,,1.05,48.09,17.6,72.6,1.075,75,195.8,3.44,8.7,6,6.1,0.46,159.6,249.1,380.5,0.3,87.5,92.6,3,5,140.7,244.4,360.3,1818
Pinot noir,réseau VS,Riddes_1,524,1.794701987,2,-1.0,-1.6,-1.0,-2.9,-4.4,1.73,38.80,17.2,70.5,1.07291,72.9,190.3,3.23,7.6,5.1,4.6,0.56,69.6,83.7,141,0.3,86.1,91.7,25,15,41.5,81.9,116.1,1351
Pinot noir,réseau VS,Saillon,530,1.198529412,1,,,,-5.0,,1.376666667,37.69,19.9,82.3,1.08489,84.9,221.9,3.49,5,4.4,3.1,0.79,79.5,172.7,238.2,0.4,101.1,108.3,0,15,60.7,167.6,217.6,1511
Pinot noir,réseau VS,Salg_1,724,1.712,1,,,,-4.6,,1.086666667,50.36,20,82.9,1.08489,84.9,221.9,3.31,5.3,6,1.7,0.44,98.5,145.9,227,0.4,100.3,109.9,18,17,79.7,146.6,212.2,1222
Pinot noir,réseau VS,Salg_3,633,1.582089552,3,-1.3,-2.5,-3.5,-4.0,-6.9,1.103333333,,18.8,77.5,1.0798,79.8,208.5,3.62,4.5,4.7,2.7,0.6,71.8,159.2,218.3,0.3,94.8,102.6,1,14,60.4,154.1,203.8,1643
Pinot noir,réseau VS,Sav_1,673,1.73553719,1,,,,-1.7,,1.286666667,50.08,18.6,76.7,1.079,79,206.3,3.2,7.7,5.7,4.2,0.53,81.4,125.6,192.6,0.4,94.5,98.5,19,15,69.8,133.3,190.8,1330
Pinot noir,réseau VS,Sav_3,450,1.75,3,-2.0,-4.3,-1.3,-3.2,-6.8,1.423333333,26.67,19,78.4,1.0808,80.8,211.1,3.21,6.7,5.5,3.2,0.6,40.7,58.2,91.7,0.4,97.3,101.9,21,19,20.7,48.3,65.3,1273
Pinot noir,réseau VS,Saxon_1,588,1.955465587,2,,,,-2.4,,1.123333333,49.99,18.8,77.7,1.08,80,209,3.32,6.3,5.5,3.2,0.57,102.4,176.8,261.1,0.3,93.1,102.8,13,14,85.8,177.9,248.6,1346
Pinot noir,réseau VS,Sierre_2,656,1.157407407,3,-2.9,-3.6,-5.2,-5.5,-7.0,1.44,38.98,21.4,89.1,1.09128,91.3,238.8,3.44,4.6,5.9,1.3,0.51,89.1,174.4,247.8,0.6,107.8,117.4,19,19,55.8,176.3,222.3,1283
Pinot noir,réseau VS,Sierre_3,598,1.559440559,1,,,,-4.6,,1.283333333,33.71,20.3,84.2,1.08639,86.4,225.9,3.5,5,4.8,2.8,0.53,79.7,137.5,203.2,0.4,103.7,110.6,8,16,61.3,139.1,189.6,1383
Pinot noir,réseau VS,Sion_2,602,1.454054054,2,,,,-3.5,,1.38,34.35,19.5,80.5,1.08279,82.8,216.4,3.4,5.3,5,2.7,0.56,86.5,158.2,229.5,0.4,98.9,106.8,8,15,64.4,156.9,209.9,1364
Pinot noir,réseau VS,Stalden_1,578,1.401869159,3,,,,-3.8,,1.173333333,32.89,18,74.1,1.0761,76.1,198.7,3.1,8.6,6.9,3.8,0.64,85.9,95.5,166.2,0.2,88.8,96.8,23,12,55.5,93.4,139.1,1139
Pinot noir,réseau VS,StMau,419,1.363128492,3,,,,-1.8,,1.006666667,30.26,18.3,75.5,1.0778,77.8,203.2,3.14,7.6,5.9,3.8,0.56,49,51.9,92.2,0.2,94.8,96.8,27,16,21.7,57.8,75.7,1296
Pinot noir,réseau VS,Valençon,585,1.266055046,3,-1.4,-3.0,-4.8,-5.8,-8.0,1.36,44.42,22,92,1.09428,94.3,246.8,3.34,5,5.2,1.8,0.72,73.7,116.6,177.3,0.4,114.4,119.9,17,20,47.3,109,148,1176
Pinot noir,réseau VS,Var_2,615,1.328767123,3,,,,-6.6,-9.6,1.24,28.64,20.6,85.8,1.08799,88,230.1,3.22,5.9,6.7,1.5,0.36,98.4,140.5,221.5,0.5,103.5,113.3,21,16,82.8,148.3,216.5,1071
Pinot noir,réseau VS,Venth_1,630,1.204918033,3,-2.7,-2.4,-2.5,-3.5,-2.9,1.563333333,44.74,20.8,86.5,1.08908,89.1,233,3.4,5.3,4.3,3.4,0.71,65.4,138.1,192,0.5,108.1,113.4,8,17,60,155.3,204.7,1492
Pinot noir,réseau VS,Venth_2,590,1.237410072,2,,,,-3.1,,1.41,31.64,20.2,83.8,1.08609,86.1,225.1,3.31,5.5,5.6,2.2,0.38,71,94.4,152.9,0.3,104.6,110.3,25,18,47.1,94.9,133.7,1274
Pinot noir,réseau VS,Vétroz_2,584,1.592307692,2,,,,-6.2,-3.5,1.36,49.71,20,82.8,1.08529,85.3,223,3.48,5.7,5,3.4,0.6,91,174.3,249.2,0.4,100.9,108.6,4,14,81.5,185.8,252.9,1574
Pinot noir,réseau VS,Vétroz_3,586,1.54676259,2,,,,-2.7,,1.326666667,48.10,19.8,82,1.08439,84.4,220.6,3.51,4.5,4.4,2.6,0.63,70.4,149.9,207.9,0.4,101.4,108.4,2,16,55.3,150.4,195.9,1532
Pinot noir,réseau VS,Visp_1,615,1.71875,2,,,,-2.6,,1.276666667,38.55,19.9,82.5,1.08469,84.7,221.4,3.12,7.1,7.6,2,0.23,125.5,116.9,220.2,0.4,98.2,108.4,36,18,105.9,120.1,207.3,1134
Pinot noir,réseau VS,Visp_2,622,1.254545455,2,,,,-1.7,,1.443333333,35.14,20.2,84,1.08649,86.5,226.2,3.28,6.4,4.9,3.8,0.59,75.3,108.8,170.8,0.4,104.8,110.2,15,17,51.1,121.1,163.2,1327