Environment ,sample_type,Country,Region,Location,Plot ,Location_ID,SAMPLE_NAME,OpenBIS identifier,Location_within_plot,Grapevine_variety ,Collection Date ,Longitude ,Latidude ,Soil pH,Soil pH Date,DNAextraction_plate,DNAextraction_well,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2021-06-11_soil_1A,/BOKULICH_MATERIALS/SAMPLES/ENV3,between vines ,Divico ,2021-06-11,,,7.49,2024-01-30,DNA15,A11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2021-06-11_soil_1B,/BOKULICH_MATERIALS/SAMPLES/ENV4,between vines ,Divico ,2021-06-11,,,7.41,2024-01-30,DNA15,B11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2021-06-11_soil_1C,/BOKULICH_MATERIALS/SAMPLES/ENV5,between vines ,Divico ,2021-06-11,"47.16405070706745, ",7.406544957,7.45,2024-01-30,DNA15,F11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2021-06-11_soil_1A_ref,/BOKULICH_MATERIALS/SAMPLES/ENV6,reference (between rows) ,Divico ,2021-06-11,,,7.32,2024-01-30,DNA15,B12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2021-06-11_soil_1B_ref,/BOKULICH_MATERIALS/SAMPLES/ENV7,reference (between rows) ,Divico ,2021-06-11,,,7.36,2024-01-30,DNA15,A8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2021-06-11_soil_1C_ref,/BOKULICH_MATERIALS/SAMPLES/ENV8,reference (between rows) ,Divico ,2021-06-11,"47.16405070706745, ",7.406544957,7.45,2024-01-29,DNA15,B8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2021-06-11_soil_2A,/BOKULICH_MATERIALS/SAMPLES/ENV9,between vines ,Sauvignon_blanc,2021-06-11,,,7.47,2024-01-30,DNA15,C8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2021-06-11_soil_2B,/BOKULICH_MATERIALS/SAMPLES/ENV10,between vines ,Sauvignon_blanc,2021-06-11,,,7.41,2024-01-30,DNA15,G11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2021-06-11_soil_2C,/BOKULICH_MATERIALS/SAMPLES/ENV11,between vines ,Sauvignon_blanc,2021-06-11,,,,,,,need to extract DNA if sample found
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2021-06-11_soil_2A_ref,/BOKULICH_MATERIALS/SAMPLES/ENV12,reference (between rows) ,Sauvignon_blanc,2021-06-11,,,7.39,2024-01-30,DNA15,E8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2021-06-11_soil_2B_ref,/BOKULICH_MATERIALS/SAMPLES/ENV13,reference (between rows) ,Sauvignon_blanc,2021-06-11,,,7.41,2024-01-30,DNA15,H10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2021-06-11_soil_2C_ref,/BOKULICH_MATERIALS/SAMPLES/ENV14,reference (between rows) ,Sauvignon_blanc,2021-06-11,,,7.42,2024-01-30,DNA15,F12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2D,Grenchen_Plot_2D,Grenchen_2021-06-11_soil_2D_ref,/BOKULICH_MATERIALS/SAMPLES/ENV4952,reference (between rows) ,Sauvignon_blanc,2021-06-11,,,7.4,2024-01-30,DNA15,E11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2021-07-21_soil_1A,/BOKULICH_MATERIALS/SAMPLES/ENV15,between vines ,Divico ,2021-07-04,,,7.35,2024-01-29,DNA15,H7 & A10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2021-07-21_soil_1B,/BOKULICH_MATERIALS/SAMPLES/ENV16,between vines ,Divico ,2021-07-04,,,7.42,2024-01-30,DNA15,G12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2021-07-21_soil_1C,/BOKULICH_MATERIALS/SAMPLES/ENV17,between vines ,Divico ,2021-07-04,"47.16405070706745, ",7.406544957,7.48,2024-01-30,DNA15,B10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2021-07-21_soil_2A,/BOKULICH_MATERIALS/SAMPLES/ENV18,between vines ,Sauvignon_blanc,2021-07-04,,,7.45,2024-01-30,DNA15,C12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2021-07-21_soil_2B,/BOKULICH_MATERIALS/SAMPLES/ENV19,between vines ,Sauvignon_blanc,2021-07-04,,,7.44,2024-01-30,DNA15,F8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2021-07-21_soil_2C,/BOKULICH_MATERIALS/SAMPLES/ENV20,between vines ,Sauvignon_blanc,2021-07-04,,,7.39,2024-01-30,DNA16,A9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2021-10-13_soil_1A,/BOKULICH_MATERIALS/SAMPLES/ENV27,between vines ,Divico ,2021-10-13,,,7.38,2024-01-30,DNA16,F9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2021-10-13_soil_1B,/BOKULICH_MATERIALS/SAMPLES/ENV28,between vines ,Divico ,2021-10-13,,,7.41,2024-01-29,DNA16,E9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2021-10-13_soil_1C,/BOKULICH_MATERIALS/SAMPLES/ENV29,between vines ,Divico ,2021-10-13,,,7.46,2024-01-30,DNA16,D9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2021-10-13_soil_2A,/BOKULICH_MATERIALS/SAMPLES/ENV30,between vines ,Sauvignon_blanc,2021-10-13,,,7.49,2024-06-17,DNA15,G7,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2021-10-13_soil_2B,/BOKULICH_MATERIALS/SAMPLES/ENV31,between vines ,Sauvignon_blanc,2021-10-13,,,7.44,2024-06-17,DNA15,F7,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2021-10-13_soil_2C,/BOKULICH_MATERIALS/SAMPLES/ENV32,between vines ,Sauvignon_blanc,2021-10-13,,,7.51,2024-06-17,DNA15,D7,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2022-03-08_1A,/BOKULICH_MATERIALS/SAMPLES/ENV4953,between vines ,Divico ,2022-03-08,,,7.36,2024-01-29,DNA15,G10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2022-03-08_1B,/BOKULICH_MATERIALS/SAMPLES/ENV4954,between vines ,Divico ,2022-03-08,,,7.41,2024-01-29,DNA15,F10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2022-03-08_1C,/BOKULICH_MATERIALS/SAMPLES/ENV4955,between vines ,Divico ,2022-03-08,,,7.49,2024-01-29,DNA15,C11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2022-03-08_2A,/BOKULICH_MATERIALS/SAMPLES/ENV4956,between vines ,Sauvignon_blanc,2022-03-08,,,7.45,2024-01-29,DNA15,H12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2022-03-08_2B,/BOKULICH_MATERIALS/SAMPLES/ENV4957,between vines ,Sauvignon_blanc,2022-03-08,,,7.45,2024-01-29,DNA16,B9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2022-03-08_2C,/BOKULICH_MATERIALS/SAMPLES/ENV4958,between vines ,Sauvignon_blanc,2022-03-08,,,7.46,2024-01-29,DNA15,H11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2022-07-02_1A,/BOKULICH_MATERIALS/SAMPLES/ENV397,between vines ,Divico ,2022-07-02,,,7.43,2024-06-17,DNA15,D11,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2022-07-02_1B,/BOKULICH_MATERIALS/SAMPLES/ENV398,between vines ,Divico ,2022-07-02,,,7.43,2024-01-29,DNA15,F9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2022-07-02_1C,/BOKULICH_MATERIALS/SAMPLES/ENV399,between vines ,Divico ,2022-07-02,,,7.54,2024-01-30,DNA15,C10,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2022-07-02_2A,/BOKULICH_MATERIALS/SAMPLES/ENV400,between vines ,Sauvignon_blanc,2022-07-02,,,7.45,2024-01-29,DNA15,A12,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2022-07-02_2B,/BOKULICH_MATERIALS/SAMPLES/ENV401,between vines ,Sauvignon_blanc,2022-07-02,,,7.36,2024-06-17,DNA15,G6,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2022-07-02_2C,/BOKULICH_MATERIALS/SAMPLES/ENV402,between vines ,Sauvignon_blanc,2022-07-02,,,7.38,2024-06-17,DNA15,B6,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2022-07-02_1A_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV403,between vines ,Divico ,2022-07-02,,,,,DNA49,D9,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2022-07-02_1B_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV404,between vines ,Divico ,2022-07-02,,,,,DNA49,C9,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2022-07-02_1C_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV405,between vines ,Divico ,2022-07-02,,,,,DNA49,G8,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2022-07-02_2A_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV406,between vines ,Sauvignon_blanc,2022-07-02,,,,,DNA49,A9,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2022-07-02_2B_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV407,between vines ,Sauvignon_blanc,2022-07-02,,,,,DNA49,H8,
Vineyard ,grapes,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2022-07-02_2C_grapes,/BOKULICH_MATERIALS/SAMPLES/ENV408,between vines ,Sauvignon_blanc,2022-07-02,,,,,DNA49,B9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2022-10-20_1A,/BOKULICH_MATERIALS/SAMPLES/ENV4626,between vines ,Divico ,2022-10-20,,,7.41,2024-01-29,DNA15,E9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2022-10-20_1B,/BOKULICH_MATERIALS/SAMPLES/ENV4627,between vines ,Divico ,2022-10-20,,,7.48,2024-01-30,DNA16,C9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2022-10-20_1C,/BOKULICH_MATERIALS/SAMPLES/ENV4628,between vines ,Divico ,2022-10-20,,,7.57,2024-01-30,DNA15,C9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2022-10-20_2A,/BOKULICH_MATERIALS/SAMPLES/ENV4629,between vines ,Sauvignon_blanc,2022-10-20,,,7.49,2024-01-30,DNA15,B9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2022-10-20_2B,/BOKULICH_MATERIALS/SAMPLES/ENV4630,between vines ,Sauvignon_blanc,2022-10-20,,,7.43,2024-01-29,DNA15,D8,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2022-10-20_2C,/BOKULICH_MATERIALS/SAMPLES/ENV4631,between vines ,Sauvignon_blanc,2022-10-20,,,7.43,2024-01-29,DNA15,A9,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1A,Grenchen_Plot_1A,Grenchen_2023-06-20_1A,/BOKULICH_MATERIALS/SAMPLES/ENV4959,between vines ,Divico ,2023-06-20,,,7,2024-02-01,DNA42,D1,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1B,Grenchen_Plot_1B,Grenchen_2023-06-20_1B,/BOKULICH_MATERIALS/SAMPLES/ENV4960,between vines ,Divico ,2023-06-20,,,7.39,2024-02-01,DNA42,A2,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,1C,Grenchen_Plot_1C,Grenchen_2023-06-20_1C,/BOKULICH_MATERIALS/SAMPLES/ENV4961,between vines ,Divico ,2023-06-20,,,7.44,2024-02-01,DNA42,D2,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2A,Grenchen_Plot_2A,Grenchen_2023-06-20_2A,/BOKULICH_MATERIALS/SAMPLES/ENV4962,between vines ,Sauvignon_blanc,2023-06-20,,,7.41,2024-02-01,DNA42,C1,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2B,Grenchen_Plot_2B,Grenchen_2023-06-20_2B,/BOKULICH_MATERIALS/SAMPLES/ENV4963,between vines ,Sauvignon_blanc,2023-06-20,,,7.47,2024-02-01,DNA42,E1,
Vineyard ,soil ,Switzerland ,Solothurn,Grenchen,2C,Grenchen_Plot_2C,Grenchen_2023-06-20_2C,/BOKULICH_MATERIALS/SAMPLES/ENV4964,between vines ,Sauvignon_blanc,2023-06-20,,,7.46,2024-02-01,DNA42,H2,
